Pid,Designator,Center-X(mm),Center-Y(mm),Rotation,Layer,Comment,Smd
9922,C1,39.599,97.3,0,Top,a-Cap_0.1uF_1,1
9922,C2,40.8,102.6,0,Top,a-Cap_0.1uF_1,1
35624,C3,43.1,105.5,270,Top,a-Cap_22uF_16V,1
7935,C4,50.1,98.3,180,Top,a-Cap_22uF,1
7935,C5,50.1,100,180,Top,a-Cap_22uF,1
7935,C6,50.1,101.7,180,Top,a-Cap_22uF,1
25345,C7,37.6,100.546,270,Top,c-Cap_47pF,1
50387,C8,30.269,104.5,0,Top,a-Cap_0.1uF,1
24081,C9,30.269,95.5,0,Top,b-Cap_10nF,1
50387,C10,30.269,94.5,0,Top,a-Cap_0.1uF,1
14227,C12,29.976,106.2,0,Top,a-Cap_4.7uF,1
50387,C13,42.319,121.7,0,Top,a-Cap_0.1uF,1
36138,C14,14.02,85.453,270,Top,a-Cap_1uF_1,1
36138,C15,29.547,85.453,270,Top,a-Cap_1uF_1,1
36138,C16,45.073,85.461,270,Top,a-Cap_1uF_1,1
36138,C17,60.6,85.461,270,Top,a-Cap_1uF_1,1
25488,C18,12.1,29.5,270,Bottom,a-Cap_0.1uF_1,1
25488,C19,26.5,29.5,270,Bottom,a-Cap_0.1uF_1,1
25488,C20,10.3,29.5,270,Bottom,a-Cap_0.1uF_1,1
25488,C21,24.7,29.5,270,Bottom,a-Cap_0.1uF_1,1
25488,C22,13.9,29.5,270,Bottom,a-Cap_0.1uF_1,1
25488,C23,28.3,29.5,270,Bottom,a-Cap_0.1uF_1,1
25488,C24,15.7,29.5,270,Bottom,a-Cap_0.1uF_1,1
25488,C25,30.1,29.5,270,Bottom,a-Cap_0.1uF_1,1
25488,C26,8.5,29.5,270,Bottom,a-Cap_0.1uF_1,1
25488,C27,22.9,29.5,270,Bottom,a-Cap_0.1uF_1,1
25488,C28,6.7,29.5,270,Bottom,a-Cap_0.1uF_1,1
25488,C29,21.1,29.5,270,Bottom,a-Cap_0.1uF_1,1
25488,C30,4.9,29.5,270,Bottom,a-Cap_0.1uF_1,1
